date,open,high,low,close,volume,weekly_short,weekly_long,symbol,trade
02-07-2025,1180,1181.9,1172,1175.3,5471100,0.677302708,0.322697292,AXISBANK,SHORT
02-07-2025,4284.4,4324.6,4230.1,4243.7,808159,0.804300745,0.195699255,HEROMOTOCO,SHORT
02-07-2025,5687,5745,5687,5722.5,299925,0.102175895,0.897824105,EICHERMOT,LONG
