date,open,high,low,close,volume,weekly_short,weekly_long,symbol,trade
11-07-2025,56843.45,57091.05,56607.75,56754.7,95543477,0.851519264,0.148480736,BANKNIFTY,SHORT
11-07-2025,1162,1175.9,1160.6,1173.8,4468654,0.78063913,0.21936087,AXISBANK,SHORT
11-07-2025,25255.5,25322.45,25129,25149.85,249987681,0.843620481,0.156379519,NIFTY,SHORT
11-07-2025,1480,1490.5,1470,1485,920651,0.807828817,0.192171183,CIPLA,SHORT
11-07-2025,5632,5683.5,5589,5612.5,522930,0.688685171,0.311314829,EICHERMOT,SHORT
11-07-2025,4300.1,4340,4190,4218.7,556464,0.685401938,0.314598062,HEROMOTOCO,SHORT
