date,open,high,low,close,volume,weekly_short,weekly_long,symbol,trade
09-07-2025,2399,2439.7,2397.1,2423.4,1741690,0.343001607,0.656998393,HINDUNILVR,LONG
09-07-2025,5671,5718.5,5669.5,5695,177978,0.690018019,0.309981981,EICHERMOT,SHORT
09-07-2025,25514.6,25548.7,25424.35,25476.1,239081546,0.316258523,0.683741477,NIFTY,LONG
09-07-2025,1160,1171,1158.6,1164.7,8674795,0.746574741,0.253425259,AXISBANK,SHORT
