date,open,high,low,close,volume,short,long,symbol,trade
20-06-2025,4380.5,4382.4,4204.9,4338.5,1159015,0.174414605,0.825585395,HEROMOTOCO,LONG
20-06-2025,1217.5,1226,1214.2,1220.7,4652390,0.258746811,0.741253189,AXISBANK,LONG
,,,,,,,,,
